Cell,Drug,ic50
ACH-000007,11626560,1.277685
ACH-000007,118704762,4.729262
ACH-000007,11364421,-0.877715
ACH-000007,46926973,4.447995
ACH-000007,60838,1.813011
ACH-000007,5310940,1.200548
ACH-000007,117072552,4.441317
ACH-000007,51000408,2.798011
ACH-000007,25124816,4.405936
ACH-000007,59472121,1.942905
ACH-000007,72200024,3.224961
ACH-000007,42623951,4.956259
ACH-000007,49847690,4.829677
ACH-000007,53469448,3.552131
ACH-000007,78243717,5.737934
ACH-000007,24753719,3.487065
ACH-000007,57519544,5.417568
ACH-000007,46943432,3.169127
ACH-000007,9936746,2.015937
ACH-000007,71268957,3.158856
ACH-000007,60167849,4.24133
ACH-000007,59473233,4.500123
ACH-000007,44462758,2.476106
ACH-000007,44631912,1.62957
ACH-000007,71299339,4.47839
ACH-000007,1018,4.748499
ACH-000007,52918385,3.392785
ACH-000007,11609586,3.282957
ACH-000007,46907787,1.464482
ACH-000007,11455910,4.467028
ACH-000007,71271629,4.402877
ACH-000007,56962337,1.776863
ACH-000007,9931953,3.004406
ACH-000007,24958200,3.769896
ACH-000007,24856436,-0.595952
ACH-000007,46926350,-2.886744
ACH-000007,60750,-3.243612
ACH-000007,9858940,1.328481
ACH-000007,56962336,5.859496
ACH-000007,6914657,-3.855835
ACH-000007,9813758,2.135081
ACH-000007,25099184,2.629074
ACH-000007,51039095,3.99813
ACH-000007,24821094,4.813731
ACH-000007,70983932,5.658243
ACH-000007,46236925,-0.200939
ACH-000007,11655119,4.92314
ACH-000007,35397514,4.4166
ACH-000007,2802462,5.071992
ACH-000007,73555129,4.124174
ACH-000007,462382,-1.429434
ACH-000007,11707110,-5.07196
ACH-000007,44462760,4.404782
ACH-000007,5394,7.248506
ACH-000007,5460769,1.510962
ACH-000007,78209992,1.446812
ACH-000007,227681,4.312625
ACH-000007,71297207,3.719036
ACH-000007,104842,-4.489221
ACH-000007,25126798,5.222221
ACH-000007,11640390,1.593206
ACH-000007,24360,-3.160246
ACH-000007,84691,2.919147
ACH-000007,148124,-4.631399
ACH-000007,126941,-0.864728
ACH-000007,24978538,2.150489
ACH-000007,44182295,-1.83118
ACH-000007,6918289,0.224156
ACH-000007,23725625,3.813458
ACH-000007,11960529,5.030822
ACH-000007,5328940,3.329184
ACH-000007,216326,5.504545
ACH-000007,6450551,2.513083
ACH-000007,11152667,0.715533
ACH-000007,9943465,3.981601
ACH-000680,126565,0.082441
ACH-000680,176158,6.417352
ACH-000680,6505803,-0.783764
ACH-000680,5311497,-4.220663
ACH-000680,11667893,6.036564
ACH-000680,5278396,5.823097
ACH-000680,10184653,1.991192
ACH-000680,24776445,5.648624
ACH-000680,24180719,4.353862
ACH-000680,11327430,2.64493
ACH-000680,16720766,3.400431
ACH-000680,11488320,5.626461
ACH-000680,156422,6.04924
ACH-000680,11624601,6.038867
ACH-000680,51042438,1.282521
ACH-000680,24737642,6.01235
ACH-000680,10384072,0.922577
ACH-000680,11433190,6.362884
ACH-000680,208908,5.095517
ACH-000680,1401,4.60011
ACH-000680,9914412,0.322547
ACH-000680,24771867,-1.779648
ACH-000680,56649450,2.349129
ACH-000680,46930998,1.83074
ACH-000680,5330286,4.045131
ACH-000680,51001932,-0.129392
ACH-000680,57345410,6.696442
ACH-000680,11977753,-2.340048
ACH-000680,17755052,0.492428
ACH-000680,25262965,-1.320921
ACH-000680,9826528,-1.231857
ACH-000680,24866313,1.101924
ACH-000680,10127622,1.913252
ACH-000680,9927531,6.349393
ACH-000680,2155128,2.634695
ACH-000680,3899,6.38343
ACH-000680,11404337,2.195947
ACH-000680,9938202,3.396351
ACH-000680,25227847,5.873447
ACH-000680,46883536,5.821395
ACH-000680,3385,4.463236
ACH-000680,68947304,6.097625
ACH-000680,11634725,1.485397
ACH-000680,16224745,4.733766
ACH-000680,3062316,3.571891
ACH-000680,36314,-3.552844
ACH-000680,4261,1.676431
ACH-000680,11626560,1.220114
ACH-000680,118704762,6.041843
ACH-000680,216239,3.689755
ACH-000680,11364421,-3.138294
ACH-000680,46926973,3.885605
ACH-000680,60838,1.39768
ACH-000680,5310940,3.149122
ACH-000680,117072552,4.797834
ACH-000680,51000408,4.644927
ACH-000680,25124816,5.653666
ACH-000680,59472121,3.922727
ACH-000680,72200024,5.875255
ACH-000680,42623951,6.050238
ACH-000680,49847690,4.205319
ACH-000680,53469448,4.483776
ACH-000680,78243717,6.005394
ACH-000680,24753719,5.9183
ACH-000680,57519544,4.507744
ACH-000680,46943432,3.693003
ACH-000680,9936746,3.814923
ACH-000680,71268957,3.645445
ACH-000680,60167849,5.443635
ACH-000680,59473233,4.716274
ACH-000680,44462758,5.041225
ACH-000680,44631912,4.310094
ACH-000680,71299339,4.77025
ACH-000680,1018,3.877274
ACH-000680,52918385,6.942387
ACH-000680,11609586,5.015042
ACH-000680,42642645,0.0502
ACH-000680,46907787,2.711068
ACH-000680,11455910,3.074305
ACH-000680,71271629,5.935233
ACH-000680,56962337,2.069288
ACH-000680,176870,5.006289
ACH-000680,9931953,4.495678
ACH-000680,24958200,4.999296
ACH-000680,24856436,-0.135685
ACH-000680,46926350,-0.679866
ACH-000680,60750,3.933382
ACH-000680,387447,-4.836992
ACH-000680,9858940,2.6383
ACH-000680,2733526,4.847397
ACH-000680,104741,4.310683
ACH-000680,56962336,6.321699
ACH-000680,44632017,1.59925
ACH-000680,6914657,-4.550119
ACH-000680,9813758,3.575976
ACH-000680,25099184,4.521433
ACH-000680,51039095,3.335971
ACH-000680,24821094,5.965032
ACH-000680,70983932,5.66747
ACH-000680,46236925,2.190274
ACH-000680,11655119,6.021941
ACH-000680,35397514,3.93917
ACH-000680,2802462,3.616635
ACH-000680,73555129,5.491277
ACH-000680,462382,-1.86385
ACH-000680,11707110,-2.63773
ACH-000680,44462760,4.195583
ACH-000680,5394,6.497638
ACH-000680,5460769,3.943414
ACH-000680,49846579,3.102093
ACH-000680,11228183,1.57355
ACH-000680,46843057,1.262671
ACH-000680,56645356,6.053638
ACH-000680,78209992,4.001485
ACH-000680,54761306,1.902952
ACH-000680,52913813,4.359892
ACH-000680,71496458,3.396377
ACH-000680,9933475,2.244095
ACH-000680,24788740,2.219832
ACH-000680,56941241,5.707114
ACH-000680,70676303,-0.27523
ACH-000680,68107965,6.241444
ACH-000680,91668541,6.110018
ACH-000680,10385095,2.52807
ACH-000680,227681,6.320351
ACH-000680,9825149,3.203117
ACH-000680,46931953,6.404039
ACH-000680,68289010,1.086558
ACH-000680,992586,5.655362
ACH-000680,2984337,5.411227
ACH-000680,11178236,-0.663489
ACH-000680,71297207,6.041625
ACH-000680,104842,-3.825828
ACH-000680,25126798,5.211573
ACH-000680,11640390,3.670316
ACH-000680,41867,2.125008
ACH-000680,2907,5.867032
ACH-000680,24360,-2.161689
ACH-000680,6710780,-4.299561
ACH-000680,84691,3.470346
ACH-000680,6253,2.212349
ACH-000680,148124,-5.168137
ACH-000680,126941,3.003488
ACH-000680,123631,4.370711
ACH-000680,24978538,-0.174247
ACH-000680,5311,1.052402
ACH-000680,644241,5.020491
ACH-000680,44182295,0.361693
ACH-000680,6918289,0.605191
ACH-000680,23725625,5.083873
ACH-000680,11960529,5.333903
ACH-000680,5328940,3.591563
ACH-000680,216326,5.97585
ACH-000680,6450551,0.859862
ACH-000680,11152667,-0.019826
ACH-000680,9943465,3.040509
ACH-000776,126565,0.18168
ACH-000776,176158,5.458966
ACH-000776,6505803,3.142571
ACH-000776,5311497,-3.997117
ACH-000776,11667893,5.951948
ACH-000776,5278396,5.951948
ACH-000776,10184653,2.020209
ACH-000776,24776445,4.94308
ACH-000776,24180719,3.798371
ACH-000776,11327430,3.101524
ACH-000776,16720766,0.708482
ACH-000776,11488320,6.153529
ACH-000776,156422,4.520119
ACH-000776,11624601,5.554409
ACH-000776,51042438,3.281039
ACH-000776,24737642,5.362092
ACH-000776,10384072,2.148745
ACH-000776,11433190,4.62014
ACH-000776,208908,4.431822
ACH-000776,1401,4.356709
ACH-000776,9914412,2.52557
ACH-000776,24771867,2.15442
ACH-000776,56649450,5.457714
ACH-000776,46930998,3.800602
ACH-000776,5330286,3.188595
ACH-000776,51001932,4.219279
ACH-000776,57345410,6.213147
ACH-000776,11977753,-1.996792
ACH-000776,17755052,3.661613
ACH-000776,25262965,-1.621878
ACH-000776,9826528,-1.943372
ACH-000776,24866313,-0.970217
ACH-000776,10127622,0.988783
ACH-000776,9927531,5.259097
ACH-000776,2155128,3.357674
ACH-000776,3899,5.281021
ACH-000776,2314623,5.080222
ACH-000776,11404337,1.021053
ACH-000776,9938202,3.639542
ACH-000776,25227847,1.712659
ACH-000776,46883536,5.946469
ACH-000776,3385,3.290477
ACH-000776,68947304,5.682159
ACH-000776,11634725,0.923058
ACH-000776,16224745,1.620805
ACH-000776,3062316,1.511262
ACH-000776,36314,-3.274017
ACH-000776,4261,2.774354
ACH-000776,11626560,2.823098
ACH-000776,118704762,5.833893
ACH-000776,216239,3.468999
ACH-000776,11364421,0.392967
ACH-000776,46926973,5.111032
ACH-000776,60838,2.885529
ACH-000776,5310940,2.55647
ACH-000776,117072552,4.177862
ACH-000776,51000408,2.53959
ACH-000776,25124816,4.596414
ACH-000776,59472121,2.588351
ACH-000776,72200024,3.788478
ACH-000776,42623951,5.453057
ACH-000776,49847690,2.045172
ACH-000776,53469448,3.203519
ACH-000776,78243717,5.160388
ACH-000776,24753719,4.072038
ACH-000776,57519544,4.223538
ACH-000776,46943432,3.575727
ACH-000776,9936746,2.030475
ACH-000776,71268957,2.44379
ACH-000776,60167849,4.380932
ACH-000776,59473233,3.727513
ACH-000776,44462758,3.090762
ACH-000776,44631912,2.899622
ACH-000776,71299339,5.27074
ACH-000776,1018,5.250353
ACH-000776,52918385,4.026467
ACH-000776,11609586,5.307413
ACH-000776,42642645,1.556941
ACH-000776,46907787,2.785921
ACH-000776,11455910,2.055772
ACH-000776,71271629,3.56862
ACH-000776,56962337,2.131271
ACH-000776,176870,3.592463
ACH-000776,9931953,3.912926
ACH-000776,24958200,4.603732
ACH-000776,24856436,0.40379
ACH-000776,46926350,-2.995975
ACH-000776,60750,-0.894944
ACH-000776,387447,-5.122766
ACH-000776,2733526,5.009179
ACH-000776,104741,3.198007
ACH-000776,56962336,5.68443
ACH-000776,44632017,2.75707
ACH-000776,6914657,-5.222444
ACH-000776,9813758,2.818839
ACH-000776,25099184,2.253075
ACH-000776,51039095,4.456252
ACH-000776,24821094,5.932415
ACH-000776,70983932,5.951948
ACH-000776,46236925,-0.706051
ACH-000776,11655119,5.940471
ACH-000776,35397514,5.210658
ACH-000776,2802462,5.92552
ACH-000776,73555129,5.596165
ACH-000776,462382,-2.067296
ACH-000776,11707110,-4.137035
ACH-000776,44462760,4.523242
ACH-000776,5394,6.70838
ACH-000776,5460769,4.441994
ACH-000776,49846579,3.469401
ACH-000776,11228183,3.035622
ACH-000776,46843057,2.892306
ACH-000776,56645356,5.285137
ACH-000776,78209992,3.36043
ACH-000776,54761306,0.415921
ACH-000776,52913813,5.630235
ACH-000776,71496458,2.678233
ACH-000776,9933475,2.419456
ACH-000776,24788740,4.135194
ACH-000776,56941241,5.527627
ACH-000776,70676303,1.264133
ACH-000776,68107965,5.207603
ACH-000776,91668541,5.211438
ACH-000776,10385095,-0.026355
ACH-000776,227681,6.147131
ACH-000776,9825149,4.873392
ACH-000776,46931953,5.9494
ACH-000776,68289010,3.370265
ACH-000776,992586,2.863043
ACH-000776,2984337,4.903331
ACH-000776,11178236,-4.722215
ACH-000776,71297207,4.357531
ACH-000776,104842,-2.457346
ACH-000776,25126798,5.640271
ACH-000776,11640390,4.959338
ACH-000776,41867,-0.738195
ACH-000776,2907,5.727824
ACH-000776,24360,-2.026524
ACH-000776,6710780,-3.704992
ACH-000776,84691,2.566944
ACH-000776,6253,3.26662
ACH-000776,148124,-5.331052
ACH-000776,123631,4.014091
ACH-000776,24978538,2.951159
ACH-000776,5311,2.157965
ACH-000776,644241,4.537036
ACH-000776,44182295,-0.845491
ACH-000776,6918289,1.41766
ACH-000776,23725625,5.091378
ACH-000776,11960529,5.663111
ACH-000776,5328940,3.834828
ACH-000776,216326,5.803572
ACH-000776,6450551,2.806011
ACH-000776,11152667,-1.311698
ACH-000776,9943465,3.769414
ACH-000475,126565,-0.583864
ACH-000475,176158,5.773936
ACH-000475,6505803,-1.954067
ACH-000475,5311497,-1.866751
ACH-000475,11667893,6.333441
ACH-000475,5278396,6.19867
ACH-000475,10184653,2.421281
ACH-000475,24776445,5.710785
ACH-000475,24180719,3.922488
ACH-000475,11327430,3.042209
ACH-000475,16720766,2.58347
ACH-000475,11488320,5.045495
ACH-000475,156422,6.203945
ACH-000475,11624601,5.951281
ACH-000475,51042438,3.574975
ACH-000475,24737642,5.049005
ACH-000475,10384072,3.15174
ACH-000475,11433190,6.116963
ACH-000475,208908,3.5983
ACH-000475,1401,3.27667
ACH-000475,9914412,2.20049
ACH-000475,24771867,2.231612
ACH-000475,56649450,3.472693
ACH-000475,46930998,3.540454
ACH-000475,5330286,4.022335
ACH-000475,51001932,1.875126
ACH-000475,57345410,5.932336
ACH-000475,11977753,0.695008
ACH-000475,17755052,1.281197
ACH-000475,25262965,-0.306546
ACH-000475,9826528,2.883794
ACH-000475,24866313,3.733701
ACH-000475,10127622,4.902975
ACH-000475,9927531,5.863886
ACH-000475,2155128,2.855014
ACH-000475,3899,4.711121
ACH-000475,2314623,4.881428
ACH-000475,11404337,-0.062509
ACH-000475,9938202,3.731622
ACH-000475,25227847,5.442132
ACH-000475,46883536,5.405868
ACH-000475,3385,6.258764
ACH-000475,68947304,6.015434
ACH-000475,11634725,3.927883
ACH-000475,16224745,4.956784
ACH-000475,3062316,3.591847
ACH-000475,36314,-0.217217
ACH-000475,4261,2.595514
ACH-000475,11626560,2.523445
ACH-000475,118704762,6.016972
ACH-000475,216239,2.807222
ACH-000475,11364421,-1.780736
ACH-000475,46926973,4.250433
ACH-000475,60838,3.954922
ACH-000475,5310940,5.213668
ACH-000475,117072552,5.578772
ACH-000475,51000408,5.391053
ACH-000475,25124816,3.827526
ACH-000475,59472121,1.355641
ACH-000475,72200024,4.007375
ACH-000475,42623951,5.050511
ACH-000475,49847690,4.994739
ACH-000475,53469448,3.330456
ACH-000475,78243717,5.479296
ACH-000475,24753719,5.009409
ACH-000475,57519544,3.197168
ACH-000475,46943432,4.124145
ACH-000475,9936746,3.122453
ACH-000475,71268957,3.735357
ACH-000475,60167849,5.149814
ACH-000475,59473233,2.196591
ACH-000475,44462758,3.267494
ACH-000475,44631912,3.061317
ACH-000475,71299339,4.902179
ACH-000475,1018,4.987747
ACH-000475,52918385,6.863174
ACH-000475,11609586,4.144125
ACH-000475,42642645,0.498841
ACH-000475,46907787,3.266976
ACH-000475,71271629,5.782338
ACH-000475,56962337,2.270728
ACH-000475,176870,4.00378
ACH-000475,9931953,5.248903
ACH-000475,24958200,4.66872
ACH-000475,24856436,0.447518
ACH-000475,46926350,-2.157745
ACH-000475,60750,-0.354763
ACH-000475,387447,-3.563582
ACH-000475,2733526,4.499767
ACH-000475,104741,3.891228
ACH-000475,56962336,5.835869
ACH-000475,44632017,3.675702
ACH-000475,9813758,2.284895
ACH-000475,25099184,1.023605
ACH-000475,51039095,2.984388
ACH-000475,24821094,5.435413
ACH-000475,70983932,6.333441
ACH-000475,46236925,1.533575
ACH-000475,11655119,4.623405
ACH-000475,35397514,4.389136
ACH-000475,2802462,4.226775
ACH-000475,73555129,1.524051
ACH-000475,462382,0.626409
ACH-000475,11707110,1.860348
ACH-000475,44462760,5.722155
ACH-000475,5394,7.893332
ACH-000475,5460769,4.816758
ACH-000475,49846579,3.242938
ACH-000475,11228183,2.763473
ACH-000475,46843057,3.92065
ACH-000475,56645356,5.760661
ACH-000475,78209992,3.495162
ACH-000475,54761306,2.648791
ACH-000475,52913813,3.383712
ACH-000475,71496458,3.853212
ACH-000475,9933475,3.416329
ACH-000475,24788740,6.284384
ACH-000475,56941241,6.054807
ACH-000475,70676303,1.55379
ACH-000475,68107965,5.717156
ACH-000475,91668541,6.234351
ACH-000475,10385095,3.205626
ACH-000475,227681,5.535262
ACH-000475,9825149,2.697514
ACH-000475,46931953,5.851771
ACH-000475,68289010,2.533243
ACH-000475,992586,5.709379
ACH-000475,2984337,4.276124
ACH-000475,11178236,-0.472535
ACH-000475,71297207,6.140764
ACH-000475,104842,-2.950041
ACH-000475,25126798,4.791995
ACH-000475,11640390,2.288992
ACH-000475,41867,3.160634
ACH-000475,2907,5.805474
ACH-000475,24360,-1.479632
ACH-000475,6710780,-2.287314
ACH-000475,84691,3.517396
ACH-000475,6253,2.928247
ACH-000475,148124,-3.220355
ACH-000475,126941,2.177254
ACH-000475,123631,4.271344
