Cell,Drug,ic50
ACH-000874,9952773,4.199621689
ACH-000874,10074640,4.269218036
ACH-000874,176167,1.974865908
ACH-000874,6852167,2.210061898
ACH-000874,53302361,1.641835465
ACH-000874,159324,2.017283936
ACH-000874,9863776,2.026612387
ACH-000874,160355,3.991354513
ACH-000874,36462,-1.540795829
ACH-000874,24825971,2.209481521
ACH-000874,46224516,2.247673708
ACH-000874,42640,3.11179898
ACH-000874,9903786,3.783882986
ACH-000874,44137675,1.242112744
ACH-000874,5329102,1.615876172
ACH-000874,46844147,1.475327696
ACH-000874,3463933,4.32529808
ACH-000874,44143370,4.061886726
ACH-000874,10027278,2.829977676
ACH-000874,16760646,-1.27033551
ACH-000874,56965967,3.857373826
ACH-000874,25195352,2.670387912
ACH-000874,16747388,3.115344585
ACH-000874,9956222,1.054623879
ACH-000874,10109823,2.261274679
ACH-000874,20635522,2.877256282
ACH-000874,637858,2.798629946
ACH-000874,9810884,4.258187877
ACH-000874,10077147,-0.353159741
ACH-000874,44551660,1.526827581
ACH-000874,53340664,3.083187726
ACH-000874,6445562,0.741524833
ACH-000874,25102847,1.823866921
ACH-000693,10074640,4.199437607
ACH-000693,24951314,1.850738468
ACH-000693,6852167,4.119827521
ACH-000693,25257557,3.230155206
ACH-000693,5208,0.021735006
ACH-000693,159324,2.61138468
ACH-000693,9863776,2.774983883
ACH-000693,36462,1.58017726
ACH-000693,46224516,3.296943218
ACH-000693,42640,4.162104664
ACH-000693,3218,3.208091187
ACH-000693,3463933,2.268490883
ACH-000693,44143370,4.137779536
ACH-000693,9967941,4.29449903
ACH-000693,25195352,3.379905754
ACH-000693,46191454,3.099834682
ACH-000693,10109823,2.495319289
ACH-000693,31703,-3.625177623
ACH-000693,53340664,3.276709482
ACH-000693,25102847,2.084260648
ACH-000827,5311497,-5.15919446
ACH-000827,208908,3.238094298
ACH-000827,10074640,3.314531689
ACH-000827,24951314,2.241873771
ACH-000827,11977753,-3.250760576
ACH-000827,11404337,-0.322203224
ACH-000827,25227847,3.295021014
ACH-000827,159324,2.466999994
ACH-000827,9863776,0.857346921
ACH-000827,126565,0.858328917
ACH-000827,6253,0.517842319
ACH-000827,46224516,3.043589148
ACH-000827,3218,3.394837463
ACH-000827,9933475,2.968572987
ACH-000827,4261,3.233238129
ACH-000827,24756910,0.444715768
ACH-000827,216239,3.291057781
ACH-000827,46843057,3.227651611
ACH-000827,5311,2.492079185
ACH-000827,10385095,-1.064845178
ACH-000827,10384072,1.782642497
ACH-000827,42642645,2.271270368
ACH-000827,11178236,-5.268101487
ACH-000827,3463933,3.06800977
ACH-000827,9813758,3.942229746
ACH-000827,46236925,0.172914711
ACH-000827,44143370,4.121309485
ACH-000827,11152667,-1.050809841
ACH-000827,5460769,2.401453208
ACH-000827,56965967,4.312853016
ACH-000827,70676303,-0.308089704
ACH-000827,54761306,1.62430941
ACH-000827,46191454,3.34056897
ACH-000827,24856436,0.441214212
ACH-000827,9825149,2.800110845
ACH-000827,16720766,0.064861819
ACH-000827,49847690,2.978414248
ACH-000827,11647372,1.659779192
ACH-000827,521106,3.999039562
ACH-000827,16722836,2.797362888
ACH-000827,637858,0.859554354
ACH-000827,17755052,2.655503918
ACH-000827,44632017,2.247960852
ACH-000827,53340664,3.073686487
ACH-000139,10074640,3.984693132
ACH-000139,24951314,1.655420152
ACH-000139,6852167,4.113037466
ACH-000139,159324,3.259215176
ACH-000139,9863776,1.409922507
ACH-000139,36462,1.64250928
ACH-000139,46224516,3.039398745
ACH-000139,3218,3.71464628
ACH-000139,3463933,3.025120188
ACH-000139,44143370,2.936025737
ACH-000139,10027278,2.099514779
ACH-000139,6918454,2.611860288
ACH-000139,9967941,4.010433875
ACH-000139,16722836,3.343177988
ACH-000139,637858,1.982775502
ACH-000139,44551660,3.934463346
ACH-000139,6918638,1.030964217
ACH-000139,53340664,3.32548729
ACH-000139,6445562,1.237285778
ACH-000929,24951314,0.259764363
ACH-000929,11404337,0.138460095
ACH-000929,6852167,2.461240901
ACH-000929,25257557,1.463928404
ACH-000929,5208,0.214256405
ACH-000929,46224516,3.710884608
ACH-000929,42640,3.71118387
ACH-000929,3218,3.765262951
ACH-000929,3463933,2.467646311
ACH-000929,44143370,2.610018808
ACH-000929,10027278,2.354997705
ACH-000929,5460769,5.292620572
ACH-000929,56965967,2.991261445
ACH-000929,25195352,2.753055453
ACH-000929,9956222,0.567494124
ACH-000929,11647372,1.743445187
ACH-000929,11455910,2.001411545
ACH-000929,44551660,2.911320483
ACH-000929,53340664,1.506872553
ACH-000929,6710780,-6.390332832
ACH-000559,24951314,0.683744517
ACH-000559,10027278,3.730561597
ACH-000137,10074640,4.055504671
ACH-000137,24951314,1.736092775
ACH-000137,9863776,1.571551552
ACH-000137,46224516,3.584501946
ACH-000137,3218,2.087551143
ACH-000137,7251185,2.155718867
ACH-000137,3463933,2.440352412
ACH-000137,5289247,4.090547219
ACH-000137,6918454,3.004753887
ACH-000137,16760646,-0.000423856
ACH-000137,56965967,4.055503568
ACH-000137,46843772,2.936913718
ACH-000137,10109823,2.169092907
ACH-000137,521106,4.912945458
ACH-000137,637858,1.373699
ACH-000137,10077147,1.171579108
ACH-000137,4263900,2.259870123
ACH-000137,44551660,3.16808572
ACH-000137,53340664,3.196277156
ACH-000355,24951314,0.648779463
ACH-000355,6852167,3.956070664
ACH-000355,159324,3.713754278
ACH-000355,5746,2.162106478
ACH-000355,42640,2.261001772
ACH-000355,24756910,1.48340029
ACH-000355,6918848,0.549619912
ACH-000355,3463933,4.25780191
ACH-000355,9967941,4.30861869
ACH-000355,46191454,2.789495042
ACH-000355,25222038,1.749611466
ACH-000355,44551660,3.307831137
ACH-000352,24951314,1.113384778
ACH-000352,5208,2.742737973
ACH-000352,46224516,4.317706736
ACH-000352,3463933,3.917613216
ACH-000352,44143370,4.258604619
ACH-000352,10027278,3.922810972
ACH-000352,44551660,3.104531744
ACH-000947,25257557,1.391209259
ACH-000947,9863776,1.449712883
ACH-000947,46224516,5.124862844
ACH-000947,5460769,5.372952056
ACH-000947,56965967,4.222368873
ACH-000947,6710780,-6.758386556
ACH-000290,6852167,3.443651153
ACH-000290,5208,2.745242038
ACH-000290,36462,-0.041027318
ACH-000290,9903786,4.022248971
ACH-000290,9967941,1.005335982
ACH-000290,11455910,-1.274522246
ACH-000290,31703,-3.82928298
ACH-000290,44551660,2.956030971
ACH-000298,24951314,2.436211497
ACH-000298,5208,3.444838846
ACH-000298,9863776,3.043603509
ACH-000298,5746,3.183664425
ACH-000298,46224516,4.055658725
ACH-000298,10027278,3.964258991
ACH-000116,9884685,2.054518106
ACH-000116,10074640,4.232359493
ACH-000116,24951314,-0.198114533
ACH-000116,5208,0.754499326
ACH-000116,9863776,3.195803121
ACH-000116,36462,1.795086968
ACH-000116,46224516,4.117015024
ACH-000116,3463933,4.454395436
ACH-000116,44143370,3.092664149
ACH-000116,10027278,3.938949442
ACH-000116,5289247,4.189243541
ACH-000116,16747388,2.750025947
ACH-000116,637858,3.100603425
ACH-000116,31703,-1.923773725
ACH-000116,53340664,3.144670099
ACH-000733,5717801,3.866890624
ACH-000733,637858,3.19786799
ACH-000956,24951314,-0.152776965
ACH-000956,6852167,2.388174448
ACH-000956,5208,2.133562775
ACH-000956,159324,3.106336175
ACH-000956,36462,1.049043569
ACH-000956,46224516,2.986738849
ACH-000956,42640,4.280558584
ACH-000956,44143370,4.150398689
ACH-000956,10027278,2.560677369
ACH-000956,56965967,4.244782939
ACH-000956,25195352,3.398412326
ACH-000956,521106,4.729165021
ACH-000956,44551660,3.293387183
ACH-000956,53340664,3.290862571
ACH-001106,9952773,4.156132593
ACH-001106,10074640,2.636852675
ACH-001106,24951314,-1.556186004
ACH-001106,176167,3.740501464
ACH-001106,25257557,0.605466766
ACH-001106,5208,-0.945813066
ACH-001106,159324,3.272634006
ACH-001106,9863776,1.343444701
ACH-001106,36462,-0.161531761
ACH-001106,46224516,3.209272272
ACH-001106,42640,4.25052542
ACH-001106,3218,3.104234903
ACH-001106,9903786,1.454493074
ACH-001106,5329102,2.553076872
ACH-001106,16038120,0.905717362
ACH-001106,3463933,2.628099183
ACH-001106,9868037,3.25207341
ACH-001106,44143370,3.605230975
ACH-001106,10027278,1.730131623
ACH-001106,5289247,3.863757079
ACH-001106,6918454,2.29188617
ACH-001106,16760646,-0.218420427
ACH-001106,56965967,3.763290283
ACH-001106,25195352,3.375158436
ACH-001106,9956222,1.936846188
ACH-001106,10109823,2.739068397
ACH-001106,11647372,2.081984217
ACH-001106,521106,2.337612647
ACH-001106,637858,1.162841101
ACH-001106,31703,-4.082257475
ACH-001106,10077147,1.257500159
ACH-001106,44551660,1.505806185
ACH-001106,53340664,2.694471086
ACH-001106,6445562,-0.131603959
ACH-001106,25102847,0.619739362
ACH-001016,24951314,2.279507232
ACH-001016,5208,1.37815738
ACH-001016,159324,3.750028127
ACH-001016,9863776,1.60726521
ACH-001016,160355,3.277446295
ACH-001016,10027278,2.745998351
ACH-001016,5717801,3.0803664
ACH-001016,10109823,2.660654637
ACH-001016,9907093,0.54943116
ACH-001016,637858,0.725795525
ACH-001016,31703,-0.112489857
ACH-000070,9952773,3.107871512
ACH-000070,24951314,-2.157184928
ACH-000070,6852167,1.061957706
ACH-000070,5208,0.059072971
ACH-000070,53302361,-0.924832147
ACH-000070,159324,1.964193819
ACH-000070,9863776,-0.263794479
ACH-000070,160355,3.588962105
ACH-000070,36462,-1.114981448
ACH-000070,16095342,-0.296654239
ACH-000070,66577006,4.247646027
ACH-000070,24825971,1.972684089
ACH-000070,11676786,1.103498414
ACH-000070,46224516,2.275232825
ACH-000070,11713159,1.35399025
ACH-000070,42640,3.515214494
ACH-000070,5329102,-0.213292427
ACH-000070,3796,3.202061646
ACH-000070,16725726,-0.710102158
ACH-000070,7251185,-0.426913076
ACH-000070,46844147,-0.50007195
ACH-000070,3463933,3.021497115
ACH-000070,44143370,4.040377485
ACH-000070,10027278,1.418164246
ACH-000070,5289247,0.502536423
ACH-000070,5717801,1.332546651
ACH-000070,6918454,2.794035583
ACH-000070,9967941,4.286961642
ACH-000070,16760646,-0.336336363
ACH-000070,25195352,3.599660549
ACH-000070,11625818,4.194903653
ACH-000070,11282283,1.938134335
ACH-000070,10109823,2.412915118
ACH-000070,20635522,2.847796906
ACH-000070,9549184,1.935669784
ACH-000070,521106,3.134417196
ACH-000070,637858,0.826575948
ACH-000070,9810884,3.902298336
ACH-000070,31703,-5.190051448
ACH-000070,10077147,0.071939732
ACH-000070,4263900,2.125795539
ACH-000070,25102847,1.675288727
ACH-000792,24951314,2.224345761
ACH-000792,5208,0.565441767
ACH-000792,53302361,1.981384465
ACH-000792,159324,3.160148734
ACH-000792,9863776,1.140704201
ACH-000792,6914657,-5.719831307
ACH-000792,36462,1.457929387
ACH-000792,46224516,5.141290858
ACH-000792,3218,3.828928029
ACH-000792,24756910,0.788858453
ACH-000792,10027278,2.680896657
ACH-000792,637858,0.970201748
ACH-000792,300471,-4.541467008
ACH-000792,31703,-2.387239705
ACH-000792,10077147,1.361122164
ACH-000792,6918638,1.761231423
ACH-000720,10074640,4.274296999
ACH-000720,24951314,2.01935573
ACH-000720,9863776,1.200512393
ACH-000720,46224516,5.128520054
ACH-000720,42640,4.246445958
ACH-000720,3218,4.107615944
ACH-000720,24756910,1.022021541
ACH-000720,3463933,3.036712504
ACH-000720,44143370,4.149134147
ACH-000720,10027278,2.424095595
ACH-000720,637858,2.498859775
ACH-000720,31703,-0.871057187
ACH-000720,53340664,3.28809022
ACH-000893,24951314,1.781947765
ACH-000893,5208,2.935252427
ACH-000893,9863776,2.82224115
ACH-000893,3218,3.214181098
ACH-000893,24756910,1.931165447
ACH-000893,10027278,2.355646807
ACH-000893,11338033,3.107060349
ACH-000893,10200390,2.685782851
ACH-000893,637858,2.503617251
ACH-000893,300471,-3.083978948
ACH-000366,24951314,1.018831365
ACH-000366,16663089,1.454083384
ACH-000366,5208,0.605276344
ACH-000366,9863776,-0.218167392
ACH-000366,5746,2.463039246
ACH-000366,5494449,0.4463074
ACH-000366,5329102,2.610655753
ACH-000366,7251185,1.560277705
ACH-000366,46844147,2.67338986
ACH-000366,3463933,3.85819725
ACH-000366,44143370,4.071865767
ACH-000366,76044,1.520072774
ACH-000366,10027278,3.399490401
ACH-000366,16760646,0.877189985
ACH-000366,25195352,3.923095329
ACH-000366,46843772,3.267874782
ACH-000366,11647372,1.906487252
ACH-000366,521106,3.614109465
ACH-000366,16722836,3.325300601
ACH-000366,637858,2.342493121
ACH-000366,446378,-3.86702645
ACH-000366,10113978,0.859894192
ACH-000366,4263900,1.740315761
ACH-000359,25257557,2.912201494
ACH-000359,53302361,1.712400221
ACH-000359,159324,2.64054941
ACH-000359,9863776,1.526534844
ACH-000359,36462,3.22352083
ACH-000359,46224516,5.212275402
ACH-000359,10027278,3.102427347
ACH-000359,521106,3.918421719
ACH-000359,637858,2.221343302
ACH-000359,31703,-1.381263454
ACH-000359,10077147,1.106819468
ACH-000876,24951314,3.641402478
ACH-000876,159324,3.395522856
ACH-000876,46885626,3.219879904
ACH-000876,10027278,3.8870757
ACH-000876,11282283,2.113019315
ACH-000876,11647372,1.047347769
ACH-000876,637858,3.173223575
ACH-000903,24951314,3.207996979
ACH-000903,5208,1.724321047
ACH-000903,9863776,2.396263653
ACH-000903,36462,2.244081083
ACH-000903,42640,4.168288235
ACH-000903,24756910,1.501103068
ACH-000903,6918848,1.69622068
ACH-000903,10027278,3.985720111
ACH-000903,16722836,3.32852046
ACH-000903,637858,2.800429121
ACH-000903,11455910,-0.532682635
ACH-000903,31703,-1.772722324
ACH-000903,10077147,1.866071083
ACH-000903,6918638,2.292075067
ACH-000849,9952773,4.189979857
ACH-000849,9884685,1.320219824
ACH-000849,10074640,4.257978092
ACH-000849,24951314,2.600960188
ACH-000849,6852167,4.273439352
ACH-000849,5208,0.0949869
ACH-000849,9863776,1.39454338
ACH-000849,36462,1.341530061
ACH-000849,46224516,3.528592103
ACH-000849,42640,4.134420182
ACH-000849,9903786,4.216475571
ACH-000849,6918848,1.953714823
ACH-000849,44143370,4.121874294
ACH-000849,10027278,3.760385688
ACH-000849,5289247,4.300495559
ACH-000849,6918454,2.758411051
ACH-000849,9967941,2.841698366
ACH-000849,11282283,1.247571301
ACH-000849,49806720,2.341018615
ACH-000849,637858,1.944919162
ACH-000849,31703,-2.990194474
ACH-000849,10077147,0.998240694
ACH-000849,44551660,2.500430312
ACH-000888,24951314,3.982367506
ACH-000888,5208,3.933945174
ACH-000888,36462,3.288333626
ACH-000888,46224516,5.174508008
ACH-000888,24756910,1.825815901
ACH-000888,11455910,2.011667873
ACH-000888,6918638,3.540601235
ACH-000056,5208,-0.688017557
ACH-000056,159324,3.179902926
ACH-000056,6253,0.344607003
ACH-000056,36462,-0.679434705
ACH-000056,24825971,1.587101013
ACH-000056,11676786,1.981402642
ACH-000056,5329102,1.324516006
ACH-000056,46844147,1.891079021
ACH-000056,3463933,3.159118472
ACH-000056,10027278,2.890459698
ACH-000056,6918454,2.5599911
ACH-000056,16760646,-0.236606485
ACH-000056,10200390,1.397816284
ACH-000056,25262965,-0.116358446
ACH-000056,10109823,2.655204129
ACH-000056,521106,3.941566184
ACH-000775,10074640,4.226693018
ACH-000775,46224516,3.834513986
ACH-000775,44143370,4.270451722
ACH-000775,10200390,2.89315784
ACH-000775,521106,3.866285279
ACH-000775,637858,3.309360516
ACH-000640,9863776,3.113454675
ACH-000704,24951314,2.148311905
ACH-000704,53302361,1.534454405
ACH-000704,9863776,0.386574771
ACH-000704,126565,-0.326505025
ACH-000704,46224516,5.18366394
ACH-000704,42640,4.302426502
ACH-000704,3218,3.847091313
ACH-000704,24756910,0.899008674
ACH-000704,10027278,3.247078605
ACH-000704,5289247,2.449550249
ACH-000704,11282283,3.931488389
ACH-000704,10109823,2.620529192
ACH-000704,16722836,3.049127754
ACH-000704,637858,1.458815863
ACH-000704,31703,-1.506643601
ACH-000518,24951314,1.918200561
ACH-000518,6852167,3.055341534
ACH-000518,5208,0.673158881
ACH-000518,53302361,0.795863287
ACH-000518,159324,3.078167721
ACH-000518,9863776,2.289163978
ACH-000518,36462,-0.674973038
ACH-000518,44137675,1.771124575
ACH-000518,3463933,2.340166772
ACH-000518,10027278,2.934792123
ACH-000518,5289247,4.216884996
ACH-000518,6918454,2.782566589
ACH-000518,637858,2.389069171
ACH-000518,11455910,0.196837595
ACH-000518,6918638,1.010107694
ACH-000800,10074640,2.962515818
ACH-000800,24951314,-0.362906405
ACH-000800,25257557,1.946394539
ACH-000800,5208,3.580375984
ACH-000800,9863776,2.527788207
ACH-000800,5746,2.937776577
ACH-000800,46224516,2.556873735
ACH-000800,42640,3.814226332
ACH-000800,16725726,2.278163667
ACH-000800,44143370,4.067263739
ACH-000800,76044,1.281330864
ACH-000800,56965967,4.066060025
ACH-000800,16722836,1.591292358
ACH-000800,637858,2.586377973
ACH-000800,446378,-4.44197617
ACH-000800,44551660,2.459806176
ACH-000800,53340664,2.85496188
ACH-000176,24951314,1.379714048
ACH-000176,5208,2.348733846
ACH-000176,53302361,1.176766629
ACH-000176,9863776,2.134266174
ACH-000176,5746,2.378099935
ACH-000176,46224516,4.874235737
ACH-000176,3463933,2.484352755
ACH-000176,10027278,3.938750372
